               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07407,            0.023627,            0.029586,             0.62119,             0.80111,              0.7438,             0.47146,            0.019066,           0.0067115,            0.016843,            0.070577,           0.0032692,           0.0032692
                   1,            0.052401,            0.017451,            0.024511,             0.35779,             0.82739,             0.63857,             0.31693,            0.028073,           0.0044779,            0.012708,             0.04057,            0.006596,            0.006596
                   2,            0.046541,            0.014934,            0.020451,             0.40115,             0.71221,             0.59924,             0.41129,            0.026785,           0.0030802,           0.0060499,            0.010557,           0.0099162,           0.0099162
                   3,            0.045089,            0.013781,            0.016453,             0.65668,             0.86051,              0.8004,             0.57046,            0.019167,           0.0028778,           0.0054081,           0.0099703,           0.0099703,           0.0099703
                   4,            0.037727,            0.013049,            0.016751,             0.87841,             0.85699,             0.90875,             0.68435,            0.014687,           0.0030108,           0.0051645,           0.0099703,           0.0099703,           0.0099703
                   5,             0.03556,            0.012035,            0.014163,             0.59911,             0.92579,             0.75009,             0.50997,            0.017082,           0.0036284,           0.0053647,           0.0099604,           0.0099604,           0.0099604
                   6,            0.034864,            0.011827,            0.014842,              0.8982,             0.84802,             0.92887,             0.69441,             0.01249,           0.0027331,           0.0039104,           0.0099505,           0.0099505,           0.0099505
                   7,             0.03449,            0.011097,            0.012008,             0.89146,             0.87356,             0.93105,             0.76605,            0.013135,           0.0025636,           0.0041634,           0.0099406,           0.0099406,           0.0099406
                   8,            0.032576,            0.010966,            0.013884,             0.89345,             0.86581,             0.93141,             0.70655,           0.0078834,            0.002553,           0.0056488,           0.0099307,           0.0099307,           0.0099307
                   9,            0.027091,            0.010586,            0.013401,             0.89086,             0.86555,              0.9143,             0.66504,            0.011297,           0.0046651,           0.0050333,           0.0099208,           0.0099208,           0.0099208
                  10,            0.030593,            0.010824,            0.014109,             0.80527,             0.87256,             0.92465,             0.70231,             0.01131,           0.0023707,           0.0049158,           0.0099109,           0.0099109,           0.0099109
                  11,            0.028232,            0.010632,            0.014014,             0.87037,              0.8669,             0.92968,             0.68678,            0.011127,           0.0029098,           0.0056398,            0.009901,            0.009901,            0.009901
                  12,            0.025291,            0.010745,            0.012209,             0.91405,              0.8864,             0.93231,              0.7318,            0.010544,           0.0022529,           0.0035429,           0.0098911,           0.0098911,           0.0098911
                  13,            0.025888,            0.010694,            0.012474,              0.8825,             0.88765,             0.90948,             0.73062,            0.011114,           0.0027951,           0.0045708,           0.0098812,           0.0098812,           0.0098812
                  14,            0.024446,            0.010486,            0.013053,             0.90281,             0.88097,             0.92264,             0.69128,             0.01434,           0.0023121,           0.0035602,           0.0098713,           0.0098713,           0.0098713
                  15,            0.026236,            0.010073,            0.012912,             0.89543,              0.8887,              0.9263,             0.75429,             0.01103,           0.0020989,           0.0034915,           0.0098614,           0.0098614,           0.0098614
                  16,            0.026832,            0.010179,            0.012081,             0.89405,             0.89897,             0.93781,             0.78555,           0.0087647,           0.0021011,           0.0035869,           0.0098515,           0.0098515,           0.0098515
                  17,            0.025645,            0.010429,             0.01236,             0.88746,             0.88344,             0.93838,             0.80926,           0.0070713,           0.0022047,            0.003434,           0.0098416,           0.0098416,           0.0098416
                  18,            0.026411,           0.0098019,            0.013005,             0.90164,             0.88511,             0.93528,             0.80517,           0.0084965,           0.0022628,           0.0037272,           0.0098317,           0.0098317,           0.0098317
                  19,            0.024686,           0.0098475,            0.012605,             0.89853,              0.8587,             0.92889,             0.77881,           0.0092958,           0.0024196,           0.0049061,           0.0098218,           0.0098218,           0.0098218
                  20,            0.023075,           0.0096198,            0.011956,             0.88225,             0.90116,             0.93184,             0.80235,           0.0070197,           0.0021572,           0.0033187,           0.0098119,           0.0098119,           0.0098119
                  21,            0.025333,           0.0097228,            0.013364,             0.78648,             0.86991,             0.93724,             0.78588,           0.0073112,           0.0024927,           0.0082642,            0.009802,            0.009802,            0.009802
                  22,            0.024692,            0.010082,            0.013401,             0.90123,             0.87654,             0.93615,             0.79624,            0.007439,           0.0022864,           0.0037686,           0.0097921,           0.0097921,           0.0097921
                  23,            0.024209,            0.009812,            0.011691,             0.89913,             0.89506,             0.94664,             0.78805,           0.0082123,           0.0023519,           0.0030191,           0.0097822,           0.0097822,           0.0097822
                  24,            0.022767,            0.009481,            0.013398,             0.89994,             0.87594,             0.92918,             0.81731,           0.0067373,           0.0021058,           0.0033791,           0.0097723,           0.0097723,           0.0097723
                  25,            0.022751,           0.0095228,            0.013111,             0.89976,             0.88203,             0.93818,             0.80666,            0.007803,           0.0023879,           0.0035386,           0.0097624,           0.0097624,           0.0097624
